Date : 2022-07-23 14:54:45
Directory : /home/john/Desktop/tsfolder1
Total : 171 files,  248585 codes, 681 comments, 1254 blanks, all 250520 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/package.json                               | JSON               |         38 |          0 |          1 |         39 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/public/index.html                          | HTML               |         20 |         23 |          1 |         44 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/public/manifest.json                       | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/src/App.js                                 | JavaScript         |         13 |          0 |          5 |         18 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/src/App.test.js                            | JavaScript         |          7 |          0 |          2 |          9 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/src/Home.js                                | JavaScript         |         19 |          0 |          4 |         23 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/src/Navbar.js                              | JavaScript         |         12 |          1 |          1 |         14 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/src/index.css                              | CSS                |         46 |          2 |          2 |         50 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/src/index.js                               | JavaScript         |         10 |          3 |          5 |         18 |
| /home/john/Desktop/tsfolder1/react101/readme.md                                            | Markdown           |          0 |          0 |          1 |          1 |
| /home/john/Desktop/tsfolder1/react_basic/public/index.html                                 | HTML               |         21 |         23 |          1 |         45 |
| /home/john/Desktop/tsfolder1/react_basic/public/manifest.json                              | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/react_basic/src/API.js                                        | JavaScript         |         68 |          3 |          6 |         77 |
| /home/john/Desktop/tsfolder1/react_basic/src/App.js                                        | JavaScript         |          9 |          0 |          3 |         12 |
| /home/john/Desktop/tsfolder1/react_basic/src/config.js                                     | JavaScript         |         22 |          5 |          5 |         32 |
| /home/john/Desktop/tsfolder1/react_basic/src/helpers.js                                    | JavaScript         |         13 |          2 |          1 |         16 |
| /home/john/Desktop/tsfolder1/react_basic/src/images/react-movie-logo.svg                   | XML                |         18 |          0 |          1 |         19 |
| /home/john/Desktop/tsfolder1/react_basic/src/images/search-icon.svg                        | XML                |          3 |          0 |          1 |          4 |
| /home/john/Desktop/tsfolder1/react_basic/src/images/tmdb_logo.svg                          | XML                |         27 |          0 |          0 |         27 |
| /home/john/Desktop/tsfolder1/react_basic/src/index.js                                      | JavaScript         |          9 |          0 |          2 |         11 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/README.md                                   | Markdown           |         38 |          0 |         33 |         71 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/data/db.json                                | JSON               |         16 |          0 |          0 |         16 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/package-lock.json                           | JSON               |     34,645 |          0 |          1 |     34,646 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/package.json                                | JSON               |         39 |          0 |          1 |         40 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/public/index.html                           | HTML               |         20 |         23 |          1 |         44 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/public/manifest.json                        | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/README.md                          | Markdown           |         38 |          0 |         33 |         71 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/data/db.json                       | JSON               |         16 |          0 |          0 |         16 |
